Bandit,Reward,Algorithm
1,3.6045489553522154,EpsilonGreedyBandit
3,4.6778550383961175,EpsilonGreedyBandit
0,1.5113030567937402,EpsilonGreedyBandit
3,5.075011750092039,EpsilonGreedyBandit
3,2.354185851670848,EpsilonGreedyBandit
0,0.1789428631306933,EpsilonGreedyBandit
0,0.2002957378921384,EpsilonGreedyBandit
1,1.8019265439858905,EpsilonGreedyBandit
3,2.6631325898300497,EpsilonGreedyBandit
0,-1.0420479206826592,EpsilonGreedyBandit
1,2.2848417312925515,EpsilonGreedyBandit
1,3.9880989686957884,EpsilonGreedyBandit
1,1.0112210175743586,EpsilonGreedyBandit
1,3.1158228660796254,EpsilonGreedyBandit
1,3.5032563909987866,EpsilonGreedyBandit
1,2.3598246403784344,EpsilonGreedyBandit
3,4.47744509364182,EpsilonGreedyBandit
3,3.7167166590294687,EpsilonGreedyBandit
0,-0.6224396276468478,EpsilonGreedyBandit
3,3.5517357348565675,EpsilonGreedyBandit
3,3.6541654559461336,EpsilonGreedyBandit
1,3.1977983276780293,EpsilonGreedyBandit
3,4.266117151640176,EpsilonGreedyBandit
0,1.5587928952421617,EpsilonGreedyBandit
1,1.2225912705555464,EpsilonGreedyBandit
3,2.756443318801662,EpsilonGreedyBandit
2,3.178142776737324,EpsilonGreedyBandit
2,2.7334270340471827,EpsilonGreedyBandit
1,2.8120933835500845,EpsilonGreedyBandit
3,4.017199376549347,EpsilonGreedyBandit
0,0.6338073320731483,EpsilonGreedyBandit
3,4.378778707583262,EpsilonGreedyBandit
2,2.793786947574776,EpsilonGreedyBandit
1,2.5898663227640073,EpsilonGreedyBandit
0,1.7800043183137948,EpsilonGreedyBandit
2,3.847090807418854,EpsilonGreedyBandit
0,3.933055152398473,EpsilonGreedyBandit
1,0.9449923614876021,EpsilonGreedyBandit
1,2.481090252070483,EpsilonGreedyBandit
3,3.9383625917395237,EpsilonGreedyBandit
0,2.0607398659665153,EpsilonGreedyBandit
1,3.3404051803465755,EpsilonGreedyBandit
2,3.161830893505177,EpsilonGreedyBandit
